homogen,penelitian,phantomA,phantomB,ukurManual
0.004395594,0.003677421,0.07604847,0.0381327,0.0026
0.007701257,0.007111531,0.1064214,0.07046266,0.0024
0.008376281,0.007760952,0.1127596,0.07571707,0.0028
0.003756638,0.003146198,0.06262527,0.05709033,0.004
0.002399644,0.003137636,0.04791817,0.03021761,0.0043
0.001609371,0.003106811,0.0352529,0.01573622,0.0046
0.001385819,0.001591783,0.03231909,0.01364615,0.0083
0.001245664,0.001131975,0.0298076,0.01206769,0.0152
0.00121297,0.001711688,0.03000157,0.01399791,0.0306
0.001137931,0.001688929,0.02853745,0.01363107,0.0157
0.001160703,0.001660704,0.02881565,0.01688511,0.0075
0.001317849,0.0008052119,0.03162211,0.01739362,0.0055
0.001609371,0.0009759455,0.0352529,0.01594247,0.0041
0.002171999,0.001515167,0.04506178,0.01919034,0.0032
0.003005732,0.002422875,0.05509335,0.02713724,0.003
0.007701257,0.007391038,0.1064214,0.07145316,0.0039
0.008376281,0.005522489,0.1127596,0.147193,0.004
0.004395594,0.005423329,0.07604847,0.06999751,0.0037
0.002171999,0.005285376,0.04506178,0.02854468,0.0043
0.001705495,0.002561226,0.03861291,0.02283456,0.0059
0.001385819,0.001369997,0.03231909,0.01798563,0.0153
0.001317849,0.002130489,0.03162211,0.02099196,0.0307
0.001160703,0.002097699,0.02881565,0.01837506,0.0134
0.001137931,0.002061981,0.02853745,0.0212468,0.0095
0.00121297,0.0008812496,0.03000157,0.02117571,0.0066
0.001385819,0.0009010134,0.03231909,0.01805194,0.0048
0.001705495,0.001167579,0.03861291,0.01871959,0.0044
0.002171999,0.001680947,0.04506178,0.02317867,0.0051
0.004395594,0.003878738,0.07604847,0.04217783,0.005
0.008376281,0.007760952,0.1127596,0.07571707,0.0042
0.007701257,0.009267246,0.1064214,0.1394809,0.0043
0.003005732,0.008938248,0.05509335,0.05096108,0.005
0.002171999,0.004237265,0.04506178,0.03908721,0.009
0.001609371,0.001968012,0.0352529,0.0290975,0.0156
0.001713407,0.005836433,0.03910965,0.02274591,0.0171
0.001317849,0.005732798,0.03162211,0.01912457,0.0111
0.00121297,0.005633454,0.03000157,0.02163226,0.0072
0.001188908,0.00210412,0.02924327,0.02134896,0.0051
0.001245664,0.001668365,0.0298076,0.01783681,0.0045
0.001385819,0.001595263,0.03231909,0.0178012,0.0051
0.001609371,0.001884814,0.0352529,0.02124212,0.005
0.002399644,0.002401792,0.04791817,0.0343385,0.0041
0.003756638,0.003146198,0.06262527,0.05709033,0.004
0.008376281,0.005522489,0.1127596,0.147193,0.0047
0.007701257,0.03228497,0.1064214,0.06926259,0.0073
